snapshot,switch,cookie,table,priority,duration_s,n_packets,n_bytes,match_raw,actions_raw,flow_raw
1,s2,0x10000cf045c27,0,40000,566.702,891,122067,dl_type=0x88cc,"CONTROLLER:65535,clear_actions","cookie=0x10000cf045c27, duration=566.702s, table=0, n_packets=891, n_bytes=122067, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535,clear_actions"
1,s4,0x10000233b88f5,0,40000,566.698,591,24822,arp,"CONTROLLER:65535,clear_actions","cookie=0x10000233b88f5, duration=566.698s, table=0, n_packets=591, n_bytes=24822, send_flow_rem priority=40000,arp actions=CONTROLLER:65535,clear_actions"
1,s4,0x1000099167fb1,0,5,566.692,20,1946,ip,"CONTROLLER:65535,clear_actions","cookie=0x1000099167fb1, duration=566.692s, table=0, n_packets=20, n_bytes=1946, send_flow_rem priority=5,ip actions=CONTROLLER:65535,clear_actions"
1,s4,0x1000039825a9a,0,40000,566.689,710,96910,dl_type=0x88cc,"CONTROLLER:65535,clear_actions","cookie=0x1000039825a9a, duration=566.689s, table=0, n_packets=710, n_bytes=96910, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535,clear_actions"
1,s4,0x10000eacb980c,0,40000,566.688,710,96910,dl_type=0x8942,"CONTROLLER:65535,clear_actions","cookie=0x10000eacb980c, duration=566.688s, table=0, n_packets=710, n_bytes=96910, send_flow_rem priority=40000,dl_type=0x8942 actions=CONTROLLER:65535,clear_actions"
1,s7,0x10000276a2656,0,40000,566.524,882,120480,dl_type=0x8942,"CONTROLLER:65535,clear_actions","cookie=0x10000276a2656, duration=566.524s, table=0, n_packets=882, n_bytes=120480, send_flow_rem priority=40000,dl_type=0x8942 actions=CONTROLLER:65535,clear_actions"
1,s7,0x10000ef19dda8,0,40000,566.523,932,39144,arp,"CONTROLLER:65535,clear_actions","cookie=0x10000ef19dda8, duration=566.523s, table=0, n_packets=932, n_bytes=39144, send_flow_rem priority=40000,arp actions=CONTROLLER:65535,clear_actions"
1,s7,0x100001044f163,0,40000,566.523,882,120480,dl_type=0x88cc,"CONTROLLER:65535,clear_actions","cookie=0x100001044f163, duration=566.523s, table=0, n_packets=882, n_bytes=120480, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535,clear_actions"
1,s7,0x100007db69e56,0,5,566.523,4,296,ip,"CONTROLLER:65535,clear_actions","cookie=0x100007db69e56, duration=566.523s, table=0, n_packets=4, n_bytes=296, send_flow_rem priority=5,ip actions=CONTROLLER:65535,clear_actions"
1,s0,0x10000ec38f3f2,0,40000,566.700,738,30996,arp,"CONTROLLER:65535,clear_actions","cookie=0x10000ec38f3f2, duration=566.700s, table=0, n_packets=738, n_bytes=30996, send_flow_rem priority=40000,arp actions=CONTROLLER:65535,clear_actions"
1,s0,0x10000c0ab2c28,0,40000,566.698,354,48498,dl_type=0x88cc,"CONTROLLER:65535,clear_actions","cookie=0x10000c0ab2c28, duration=566.698s, table=0, n_packets=354, n_bytes=48498, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535,clear_actions"
1,s0,0x100006199710e,0,40000,566.696,354,48498,dl_type=0x8942,"CONTROLLER:65535,clear_actions","cookie=0x100006199710e, duration=566.696s, table=0, n_packets=354, n_bytes=48498, send_flow_rem priority=40000,dl_type=0x8942 actions=CONTROLLER:65535,clear_actions"
1,s0,0x100008aee1fa8,0,5,566.693,204,19992,ip,"CONTROLLER:65535,clear_actions","cookie=0x100008aee1fa8, duration=566.693s, table=0, n_packets=204, n_bytes=19992, send_flow_rem priority=5,ip actions=CONTROLLER:65535,clear_actions"
1,s6,0x10000069366e3,0,5,566.529,37,3314,ip,"CONTROLLER:65535,clear_actions","cookie=0x10000069366e3, duration=566.529s, table=0, n_packets=37, n_bytes=3314, send_flow_rem priority=5,ip actions=CONTROLLER:65535,clear_actions"
1,s6,0x10000dd66b89f,0,40000,566.528,1568,214283,dl_type=0x8942,"CONTROLLER:65535,clear_actions","cookie=0x10000dd66b89f, duration=566.528s, table=0, n_packets=1568, n_bytes=214283, send_flow_rem priority=40000,dl_type=0x8942 actions=CONTROLLER:65535,clear_actions"
1,s6,0x10000e1bd7c7d,0,40000,566.528,1568,214283,dl_type=0x88cc,"CONTROLLER:65535,clear_actions","cookie=0x10000e1bd7c7d, duration=566.528s, table=0, n_packets=1568, n_bytes=214283, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535,clear_actions"
