snapshot_idx,ts_epoch,cpu_pct,ram_used_bytes,disk_read_bytes,disk_write_bytes
3,1767644263.6100128,2.841,7112441856,0,493166592
3,1767644268.615609,3.540,7112900608,0,359825408
3,1767644273.6195443,3.005,7112900608,0,500064256
3,1767644278.62583,2.497,7112896512,0,459833344
3,1767644284.1596682,2.334,7112605696,0,520642560
3,1767644289.8560476,2.336,7112585216,0,564699136
3,1767644294.8596783,2.778,7112806400,16384,504012800
3,1767644299.861631,1.977,7112790016,16384,534396928
3,1767644304.8678858,2.993,7112781824,16384,549388288
3,1767644309.8742344,2.437,7113019392,16384,594903040
3,1767644314.8756354,2.643,7114301440,8192,489865216
3,1767644319.8795614,3.566,7114522624,0,601251840
3,1767644324.8858573,2.220,7114780672,0,509124608
3,1767644329.892236,2.495,7115010048,0,490561536
3,1767644334.8957012,2.157,7115489280,0,538787840
3,1767644340.0156164,2.598,7115481088,0,512696320
3,1767644345.1879725,2.554,7115481088,0,479764480
3,1767644350.6661522,2.374,7115481088,0,493805568
3,1767644355.668283,1.899,7115481088,0,497639424
3,1767644360.899659,2.295,7115493376,0,378404864
3,1767644365.9059958,1.911,7115493376,0,679936
3,1767644370.907661,1.857,7115493376,0,114688
3,1767644375.9139755,2.396,7115493376,0,180224
3,1767644380.9196968,2.233,7115489280,0,106496
3,1767644385.9260175,2.117,7116005376,0,155648
3,1767644390.9315615,2.252,7116005376,0,163840
3,1767644395.9355333,2.031,7116005376,0,229376
3,1767644400.9396393,2.254,7027601408,0,90112
3,1767644405.9435031,2.188,6903328768,0,311296
3,1767644410.9477723,2.236,6903574528,0,540672
3,1767644415.9515314,2.632,6903537664,0,221184
3,1767644420.9555845,1.872,6903537664,0,139264
3,1767644425.95954,2.691,6903734272,0,180224
3,1767644430.9635692,1.990,6902575104,0,90112
3,1767644435.967526,2.216,6902423552,0,188416
3,1767644440.9716065,2.552,6902444032,0,106496
3,1767644445.9758294,1.692,6902681600,0,188416
3,1767644450.9795024,2.552,6902693888,0,147456
3,1767644455.983614,2.451,6902943744,0,188416
3,1767644460.987527,1.972,6902915072,0,139264
3,1767644465.9915476,2.455,6903021568,0,221184
3,1767644470.9940495,1.991,6902718464,0,90112
3,1767644476.0002747,2.730,6902661120,0,204800
3,1767644481.0038064,2.256,6902390784,0,106496
3,1767644486.0100532,1.771,6884012032,0,139264
3,1767644491.0163682,2.456,6883717120,0,229376
3,1767644496.0226448,2.049,6883680256,0,122880
3,1767644501.0289378,2.697,6884474880,0,180224
3,1767644506.0351524,1.954,6884155392,0,180224
3,1767644511.0413098,1.990,6884376576,0,114688
3,1767644516.0474024,2.472,6883401728,0,188416
3,1767644521.0515535,2.297,6883401728,0,163840
3,1767644526.0562136,1.652,6882983936,0,98304
3,1767644531.059617,3.103,6725111808,0,204800
3,1767644536.0635648,3.259,6562533376,0,155648
3,1767644541.0699859,2.878,6504042496,0,90112
3,1767644546.0755012,2.016,6503763968,0,131072
4,1767644684.9677305,98.377,10541883392,0,263372800
4,1767644690.5579638,98.437,11170320384,40960,415285248
4,1767644696.9283106,97.049,9151639552,32768,662659072
4,1767644703.216991,30.159,7306977280,8192,646356992
4,1767644708.2234833,2.925,7305728000,0,412459008
4,1767644713.2297344,3.109,7305011200,0,490618880
4,1767644718.2357817,3.581,7304044544,0,398499840
4,1767644723.2433517,3.484,7303688192,0,457949184
4,1767644728.7577958,2.740,7303503872,0,494149632
4,1767644734.511585,2.404,7303680000,8192,476741632
4,1767644739.5178766,2.758,7302721536,8192,455663616
4,1767644744.522633,2.311,7302848512,0,475701248
4,1767644749.52908,2.871,7303016448,0,476307456
4,1767644754.5311751,2.196,7303012352,0,441237504
4,1767644759.5360024,2.580,7303262208,0,473513984
4,1767644764.5423143,2.773,7303262208,0,448815104
4,1767644769.5486736,2.235,7303479296,8192,492658688
4,1767644774.5505557,2.677,7303421952,0,441212928
4,1767644781.1636598,2.464,7303405568,0,639279104
4,1767644786.4796658,2.554,7303274496,0,456114176
4,1767644791.4846516,2.098,7303364608,0,448552960
4,1767644796.487665,2.878,7303622656,0,453918720
4,1767644801.4916208,2.364,7303327744,0,444129280
4,1767644806.4966373,2.210,7303262208,0,433266688
4,1767644811.499621,2.336,7303487488,0,19988480
4,1767644816.5035794,1.928,7303716864,0,98304
4,1767644821.509924,2.652,7293448192,0,131072
4,1767644826.516256,2.474,7293734912,0,139264
4,1767644831.522444,2.072,7293595648,0,114688
4,1767644836.5276542,2.436,7115522048,0,172032
4,1767644841.5316203,2.248,6970482688,0,360448
4,1767644846.537989,2.253,6970474496,0,106496
4,1767644851.5443108,2.676,6970667008,0,114688
4,1767644856.5476556,2.089,6970662912,0,147456
4,1767644861.5539954,2.535,6970662912,0,139264
4,1767644866.5597026,2.472,6970892288,0,147456
4,1767644871.5636857,1.934,6970912768,0,98304
4,1767644876.5700054,2.451,6970896384,0,188416
4,1767644881.575612,2.268,6971031552,0,139264
4,1767644886.5796123,2.335,6970994688,0,114688
4,1767644891.585945,2.674,6970994688,0,49152
4,1767644896.592266,1.912,6970994688,0,172032
4,1767644901.5991852,2.750,6971224064,0,90112
4,1767644906.6056123,1.988,6971224064,0,106496
4,1767644911.611927,2.750,6971219968,0,237568
4,1767644916.6182098,2.333,6971478016,0,122880
4,1767644921.624581,2.092,6971473920,0,98304
4,1767644926.6309204,2.391,6971473920,0,180224
4,1767644931.6372542,2.473,6971703296,0,81920
4,1767644936.6435556,1.988,6971703296,0,163840
4,1767644941.6498594,2.494,6972002304,0,90112
4,1767644946.6561284,2.049,6963970048,0,221184
4,1767644951.662423,2.334,6964154368,0,114688
4,1767644956.6687658,2.351,6963851264,0,114688
4,1767644961.6716256,2.014,6884900864,0,90112
4,1767644966.675615,2.478,6825152512,0,172032
4,1767644971.6796377,3.380,6677995520,0,81920
4,1767644976.6835337,4.014,6528909312,0,139264
4,1767644981.6876388,2.535,6528663552,0,237568
4,1767644986.6915114,1.910,6528753664,0,106496
